id,nom,festa1,festa2
930,"Bisbal del Penedès, la",2025-04-23,2025-08-14
749,Biscarri,2025-09-20,2025-11-29
1510,Biure,2025-05-03,2025-09-02
6,Biure,2025-03-03,2025-04-22
942,Blancafort,2025-04-23,2025-06-09
278,Blanes,2025-04-22,2025-07-26
1303,"Bleda, la",2025-07-04,2025-11-11
599,Boada,2025-04-29,2025-08-18
7,Boadella d'Empordà,2025-11-11,2025-11-22
699,Boldís Jussà,2025-06-30,2025-07-11
700,Boldís Sobirà,2025-01-20,2025-09-29
148,Bolvir,2025-05-15,2025-11-22
931,Bonastre,2025-05-22,2025-07-22
711,Bonestarre,2025-01-22,2025-10-15
146,Bor,2025-06-13,2025-07-25
1503,"Bordeta, era",2025-08-23,2025-09-29
207,Bordils,2025-08-25,2025-10-29
389,"Borges Blanques, les",2025-09-08,2025-09-09
898,"Borges del Camp, les",2025-06-26,2025-09-08
9,Borrassà,2025-05-03,2025-12-01
1420,Borredà,2025-06-09,2025-08-18
676,Borén,,
774,Bossòst,,
1050,Bot,2025-02-03,2025-02-04
899,Botarell,2025-02-03,2025-08-11
390,Bovera,2025-05-19,2025-09-08
805,Boí,2025-02-14,2025-06-23
279,Breda,2025-09-05,2025-09-08
5086,Bresca,2025-01-20,2025-08-01
5084,Bretui,2025-01-20,2025-08-01
486,Briansó,2025-04-28,2025-08-25
242,Briolf,2025-05-22,2025-09-29
1379,"Bruc, el",2025-05-08,2025-08-14
1207,"Brull, el",2025-07-25,2025-10-01
280,Brunyola,2025-01-24,2025-11-14
869,Bràfim,2025-07-25,2025-12-10
763,Buira,2025-05-15,2025-08-01
693,Burg,,
319,Busa,,
5125,Buseu,2025-01-20,2025-08-01
571,Butsènit,2025-03-17,2025-08-14
5,Bàscara,2025-07-25,2025-11-14
1013,Bítem,2025-06-09,2025-09-19
770,"Bòrdes, Es",2025-09-08,2025-10-08
718,Bóixols,,
1311,Ca l'Avi,2025-04-17,2025-10-27
975,Cabacés,2025-02-03,2025-05-15
552,Cabanabona,,
11,Cabanelles,2025-05-03,2025-06-30
12,Cabanes,2025-01-24,2025-05-16
1272,"Cabanyes, les",2025-02-14,2025-08-04
5137,Cabestany,2025-01-20,2025-08-01
5100,Cabestany,,
870,Cabra del Camp,2025-08-22,2025-08-25
1381,Cabrera d'Anoia,2025-01-20,2025-08-11
1179,Cabrera de Mar,2025-06-09,2025-08-01
1362,Cabrianes,2025-09-15,2025-09-22
1180,Cabrils,2025-03-21,2025-06-09
613,Cabó,2025-05-15,2025-08-11
13,Cadaqués,2025-01-20,2025-12-18
1436,Cal Rosal,2025-06-19,2025-07-14
1382,Calaf,2025-02-05,2025-09-08
932,Calafell,2025-06-30,2025-07-16
657,Calbinyà,2025-07-12,2025-12-20
1335,Calders,2025-01-22,2025-09-12
1181,Caldes d'Estrac,2025-09-08,2025-12-12
281,Caldes de Malavella,2025-08-04,2025-09-22
1101,Caldes de Montbui,2025-06-09,2025-10-13
1182,Calella,2025-06-16,2025-09-23
1208,Calldetenes,2025-06-09,2025-09-24
1336,Callús,2025-06-30,2025-10-13
91,Calonge,2025-07-14,2025-11-11
1383,Calonge de Segarra,2025-09-29,2025-10-06
62,Camallera,2025-04-25,2025-08-25
554,Camarasa,2025-01-17,2025-04-23
1004,Camarles,2025-07-25,2025-11-14
327,Cambrils,,
902,Cambrils,2025-05-19,2025-09-08
247,Campdevànol,2025-09-22,2025-09-23
248,Campelles,2025-06-09,2025-11-14
1102,Campins,2025-05-12,2025-09-01
208,Campllong,2025-06-16,2025-08-25
1012,Campredó,2025-06-09,2025-07-25
250,Camprodon,2025-06-20,2025-06-23
1346,Camps,2025-02-21,2025-08-25
233,Camós,2025-08-16,2025-10-20
5105,Can Bas,2025-04-17,2025-06-30
1312,Can Batista,2025-04-17,2025-07-07
1313,Can Cartró,2025-04-17,2025-04-28
1314,Can Rossell,2025-04-17,2025-04-28
328,Canalda,,
102,Canapost,2025-06-09,2025-09-06
775,Canejan,2025-08-29,2025-09-08
209,Canet d'Adri,2025-09-29,2025-10-29
1183,Canet de Mar,2025-06-30,2025-09-08
130,Canet de la Tallada,2025-04-17,2025-06-09
856,"Canonja, la",2025-01-20,2025-08-14
1103,Canovelles,2025-05-30,2025-07-28
1269,Cantallops,2025-04-17,2025-10-20
38,Cantallops,2025-05-12,2025-08-04
5106,Cantallops,2025-01-27,2025-04-17
1252,Cantonigròs,2025-04-17,2025-08-16
196,"Canya, la",2025-05-19,2025-09-08
1324,Canyelles,2025-07-21,2025-09-10
476,"Canós, el",2025-05-16,2025-08-23
900,Capafonts,2025-07-30,2025-08-18
1384,Capellades,2025-02-06,2025-08-16
14,Capmany,2025-03-04,2025-06-09
1421,Capolat,2025-06-19,2025-09-08
976,Capçanes,2025-08-01,2025-08-04
1107,Cardedeu,2025-05-19,2025-08-14
806,Cardet,2025-08-16,2025-09-08
1337,Cardona,2025-09-15,2025-09-16
448,"Cardosa, la",2025-01-02,2025-07-26
5140,Caresrius de la Rierada,2025-06-09,2025-09-29
1385,Carme,2025-07-16,2025-11-11
793,Casarilh,2025-10-08,2025-12-22
794,Casau,2025-06-25,2025-11-29
1051,Caseres,2025-08-22,2025-08-25
1035,"Cases d'Alcanar, les",2025-06-30,2025-07-16
1274,"Casetes de la Gornal, les",2025-04-17,2025-08-18
1315,"Casots, els",2025-04-17,2025-05-05
1422,Casserres,2025-04-28,2025-08-25
712,Cassibrós,2025-08-30,2025-11-29
210,Cassà de la Selva,,
1423,Castell de l'Areny,2025-01-22,2025-05-15
93,Castell-Platja d'Aro,2025-02-27,2025-09-08
1544,Castellar de Tost,2025-01-17,2025-11-11
303,Castellar de la Ribera,2025-03-03,2025-09-08
1424,Castellar de n'Hug,2025-07-11,2025-09-29
1458,Castellar del Riu,,
1153,Castellar del Vallès,2025-03-19,2025-09-15
1338,Castellbell i el Vilar,2025-03-03,2025-08-18
1154,Castellbisbal,2025-01-22,2025-08-20
1108,Castellcir,2025-01-17,2025-12-01
391,Castelldans,2025-09-04,2025-09-05
1067,Castelldefels,2025-08-14,2025-12-05
1275,Castellet,2025-04-17,2025-08-04
1273,Castellet i la Gornal,,
1386,Castellfollit de Riubregós,,
178,Castellfollit de la Roca,2025-06-09,2025-09-22
1339,Castellfollit del Boix,2025-02-21,2025-04-22
1340,Castellgalí,2025-05-05,2025-08-04
449,Castellnou d'Oluges,2025-05-19,2025-08-16
